"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27370939",-1.12734328774562,4.93603913268283,-7.31491090432871,1.05959852589139e-06,4.24371871927354e-05,5.61660460436173
"27371391",-0.407631043826431,7.66155784980549,-7.39778754551895,9.11496058390203e-07,3.82348609756311e-05,5.60994510866819
"27365865",0.371468427100386,9.36887378520537,7.3079114939761,1.07320332343443e-06,4.25543805361811e-05,5.60830159374374
"27365688",-0.371031222449515,6.82311500966041,-7.40260004734856,9.03587541372022e-07,3.82348609756311e-05,5.59289208034491
"27367470",-0.385855333331467,6.85029823400935,-7.38115121510311,9.39394572583833e-07,3.89946601223601e-05,5.56034917982346
"27370671",-0.701978979968886,3.64135957577171,-7.19879018761826,1.31048707154744e-06,4.88170059539851e-05,5.55747797699456
"27367345",-0.395715562641461,5.59111152033336,-7.32959882412088,1.03162974587388e-06,4.16716855127631e-05,5.54658049027151
"27364664",0.496798663299427,6.30582952214208,7.34689240821793,9.99681324276549e-07,4.08587700229954e-05,5.51706458169998
"27367261",0.383072624454757,10.6125456037443,7.19613629054795,1.31689539273611e-06,4.88170059539851e-05,5.50307301974515
"novel.22",0.809726826755664,3.33671525939324,7.14370983667918,1.45039690133838e-06,5.25439241075768e-05,5.49832488634351
"27371167",-0.470091806749983,5.23152470636235,-7.24581183274791,1.20216805023944e-06,4.6459225387708e-05,5.43898924227323
"27369744",-2.43553486475925,0.300297922884238,-7.24135612106429,1.21202057521351e-06,4.6459225387708e-05,5.43060737456005
"27370966",-0.779801226158924,5.53834054863827,-7.2496565120026,1.19373361471858e-06,4.64100337039369e-05,5.41939713077993
"27367352",0.628263342387806,7.07842323935149,7.30900077725317,1.07107419139685e-06,4.25543805361811e-05,5.41821155035279
"27369166",1.77239244162901,4.96802705039306,7.16815829118484,1.38647034064395e-06,5.06283356417861e-05,5.41285755202323
"27368264",-0.556133504746209,4.83122268079779,-7.19312862667114,1.32419736389964e-06,4.88604305105563e-05,5.40521678668165
"27365838",-0.304359126583477,7.59826774490775,-7.27336218498032,1.14307028166781e-06,4.4658186984767e-05,5.36706344206431
